Date,Close,High,Low,Open,Volume,trend
2025-08-14,875895.4375,887798.8862542468,867959.8049971687,872919.5753114382,241011,36
2025-08-18,880855.1875,898710.3602195946,862008.0607404279,871927.6011402027,236731,36
2025-08-19,820346.0,880855.1970979444,820346.0,878871.2889963725,256827,36
2025-08-20,809434.5,822329.9025735294,794555.1893382353,802490.8216911765,322736,36
2025-08-21,827289.6875,841177.0443645084,820346.0090677458,827289.6875,128018,36
2025-08-22,883831.0625,887798.878717733,839193.130050505,842168.9922138047,255134,36
2025-08-25,895734.5,900694.2702104098,880855.1893687707,892758.6378737541,127028,25
2025-08-26,892758.625,896726.4411111111,872919.5444444445,888790.8088888889,246639,25
2025-08-27,899702.3125,904662.0826901874,881847.1398153252,891766.6801957,112708,25
2025-08-28,900694.25,924501.1464757709,890774.7098017621,893750.5718612334,146074,25
2025-08-29,876887.375,912597.7205882353,876887.375,909621.8584558824,183497,25
2025-09-01,908629.875,919541.3691320961,885814.9327237991,887798.8407478166,185557,27
2025-09-02,925493.125,935412.6654608789,908629.9062165059,925493.125,129384,27
2025-09-03,933428.75,942356.3363443145,924501.1636556854,930452.8878852285,152150,27
2025-09-04,923509.1875,938388.4977175081,918549.4174274973,924501.1415145006,147466,27
2025-09-05,912597.6875,938388.4917119566,902678.1474184783,930452.8596467392,193204,27
2025-09-08,943348.25,944340.2039957939,913589.630126183,916565.4921135647,176069,34
2025-09-09,937396.5625,947316.1028439153,929460.9302248678,946324.1488095238,164915,34
2025-09-10,959219.5625,970131.0570062047,937396.5734875904,937396.5734875904,229210,34
2025-09-11,996913.8125,996913.8125,965171.2831467661,965171.2831467661,298028,34
2025-09-12,993937.9375,1002865.52376497,985010.35123503,991954.0294411178,169241,34
2025-09-15,978066.6875,999889.6764705883,972114.9632352941,989970.1360294118,143445,38
2025-09-16,1032624.125,1032624.125,986002.2865033621,986002.2865033621,226446,38
2025-09-17,1021712.625,1029648.257038835,1006833.3149271845,1018736.7629854368,202933,38
2025-09-18,1015760.9375,1043535.6506347656,990962.0864868164,1034608.0642700195,209665,38
2025-09-22,1013777.0,1025680.4481409002,992945.9657534247,1019728.72407045,137450,33
2025-09-23,995921.875,1015760.9561752988,990962.1047061753,996913.829058765,148757,33
2025-09-24,1049487.375,1054447.1452032137,996913.8108459357,1011793.1214555765,295040,33
2025-09-25,1039567.8125,1085197.697399809,1034608.0424021946,1053455.1687738548,209497,33
2025-09-26,1035600.0,1061390.8045977012,1016752.8735632184,1043535.632183908,192038,33
2025-09-29,1050479.375,1056431.0995042492,1035600.0637393767,1049487.4209159585,124076,33
2025-09-30,1098093.125,1117932.2058491418,1048495.4228771455,1050479.3309620598,291287,33
2025-10-01,1090157.5,1104044.856687898,1072302.3271155597,1091149.4540491356,158652,33
2025-10-02,1088173.625,1109004.6606654513,1070318.4515724704,1094125.3494758431,189175,33
2025-10-10,1033616.125,1070318.4250239923,1018736.8141794626,1060398.8844769674,290169,38
2025-10-13,985010.375,1036591.985775428,983026.4668932528,1031632.21550856,183941,62
2025-10-14,925493.125,1000881.6325026795,916565.5385852089,986002.3218113611,318501,62
2025-10-15,946324.125,948308.033018868,915573.5507075472,939380.4469339623,329226,62
2025-10-16,928469.0,961203.483974359,923509.2297008547,947316.1271367521,184356,62
2025-10-17,904662.0625,939380.4530564693,904662.0625,923509.1888020834,184363,62
2025-10-20,945332.1875,948308.0495802729,918549.4287775446,921525.2908578174,196306,28
2025-10-21,966163.25,978066.6986652977,952275.8932238193,976082.7905544147,247903,28
2025-10-22,998897.6875,1005841.3655660377,983026.4233490566,986002.2853773586,256790,28
