Date,trend_base,trend_stock,trend_forecast,trend_earnings,trend_business_plan,ticker,company_name,foreign_ratio
2025-10-12,64.00748625570245,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-13,62.72733653058838,15.915328467153286,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-14,18.56217101415371,13.262773722627738,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-15,7.040823488127268,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-16,15.361796701368585,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-17,14.721721838811561,13.793284671532849,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-18,8.320973213241317,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-19,8.320973213241317,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-20,13.44157211369751,16.711094890510953,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-21,11.521347526026437,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-22,12.801497251140487,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-23,14.081646976254536,17.241605839416057,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-24,13.44157211369751,15.119562043795623,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-25,7.551292548836122,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-26,6.405193589893556,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-27,12.15300035091824,22.82204379562044,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-28,12.32167504971342,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-29,11.495613522049366,13.779854014598541,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-30,15.928646625336299,26.525547445255476,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-10-31,15.439934495262609,12.745693430656935,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-01,9.034740905369052,13.178832116788323,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-02,7.084337349397591,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-03,18.891566265060245,13.766423357664234,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-04,12.481927710843376,11.080291970802921,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-05,12.481927710843376,17.124087591240876,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-06,19.566265060240966,16.788321167883215,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-07,15.180722891566267,16.116788321167885,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-08,8.096385542168676,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-09,10.457831325301205,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-10,11.13253012048193,10.744525547445257,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-11,11.807228915662652,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-12,11.46987951807229,13.094890510948906,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-13,11.46987951807229,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-14,13.156626506024097,17.795620437956206,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-15,9.783132530120483,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-16,10.120481927710845,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-17,17.879518072289162,17.45985401459854,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-18,16.192771084337352,12.087591240875915,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-19,14.506024096385541,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-20,14.843373493975905,23.503649635036496,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-21,13.156626506024097,31.89781021897811,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-22,8.433734939759036,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-23,6.072289156626507,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-24,12.481927710843376,22.160583941605843,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-25,11.807228915662652,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-26,22.93975903614458,28.875912408759124,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-27,33.734939759036145,21.153284671532848,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-28,17.204819277108435,14.437956204379562,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-29,7.759036144578315,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-11-30,10.795180722891567,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-01,14.168674698795183,15.781021897810218,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-02,10.795180722891567,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-03,13.156626506024097,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-04,7.084337349397591,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-05,15.180722891566267,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-06,9.10843373493976,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-07,8.771084337349398,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
